time,time_utc,lmp_da,lmp_rt
0.0,2020-04-01 00:00:00+00:00,21.7361,12.8119
299.0,2020-04-01 00:04:59+00:00,21.7361,12.8119
300.0,2020-04-01 00:05:00+00:00,21.7361,12.6203
599.0,2020-04-01 00:09:59+00:00,21.7361,12.6203
600.0,2020-04-01 00:10:00+00:00,21.7361,13.4409
899.0,2020-04-01 00:14:59+00:00,21.7361,13.4409
900.0,2020-04-01 00:15:00+00:00,21.7361,13.1029
1199.0,2020-04-01 00:19:59+00:00,21.7361,13.1029
1200.0,2020-04-01 00:20:00+00:00,21.7361,13.0425
1499.0,2020-04-01 00:24:59+00:00,21.7361,13.0425
1500.0,2020-04-01 00:25:00+00:00,21.7361,13.9155
1799.0,2020-04-01 00:29:59+00:00,21.7361,13.9155
1800.0,2020-04-01 00:30:00+00:00,21.7361,13.8065
2099.0,2020-04-01 00:34:59+00:00,21.7361,13.8065
2100.0,2020-04-01 00:35:00+00:00,21.7361,13.4788
2399.0,2020-04-01 00:39:59+00:00,21.7361,13.4788
2400.0,2020-04-01 00:40:00+00:00,21.7361,13.1093
2699.0,2020-04-01 00:44:59+00:00,21.7361,13.1093
2700.0,2020-04-01 00:45:00+00:00,21.7361,13.1939
2999.0,2020-04-01 00:49:59+00:00,21.7361,13.1939
3000.0,2020-04-01 00:50:00+00:00,21.7361,12.9869
3299.0,2020-04-01 00:54:59+00:00,21.7361,12.9869
3300.0,2020-04-01 00:55:00+00:00,21.7361,11.7387
3599.0,2020-04-01 00:59:59+00:00,21.7361,11.7387
3600.0,2020-04-01 01:00:00+00:00,17.3163,7.3884
3899.0,2020-04-01 01:04:59+00:00,17.3163,7.3884
3900.0,2020-04-01 01:05:00+00:00,17.3163,10.8536
4199.0,2020-04-01 01:09:59+00:00,17.3163,10.8536
4200.0,2020-04-01 01:10:00+00:00,17.3163,12.8683
4499.0,2020-04-01 01:14:59+00:00,17.3163,12.8683
4500.0,2020-04-01 01:15:00+00:00,17.3163,-34.9062
4799.0,2020-04-01 01:19:59+00:00,17.3163,-34.9062
4800.0,2020-04-01 01:20:00+00:00,17.3163,5.5509
